SendDate,Solar Power (kW),Solar energy Generation  (kWh),consumptionValue (kW),Device_1_Consumption (kW),Device_2_Consumption (kW),Device_3_Consumption (kW),Device_4_Consumption (kW),TOU_rates (INR),Predicted Solar energy Generation (kWh),Predicted TOU_rates (INR),Cummulative Energy Consumption
7/1/2024 0:03,144,0,0.37,0.103,0.051,0.01,0.184,10,0,10,0.37
7/1/2024 0:07,144,0,0.39,0.071,0,0.062,0.058,10,0,10,0.76
7/1/2024 0:13,144,0,0.37,0.127,0.005,0.004,0.016,10,0,10,1.13
7/1/2024 0:19,144,0,0.38,0.121,0.195,0.231,0.038,10,0,10,1.51
7/1/2024 0:24,144,0,0.38,0.005,0.137,0.078,0.146,10,0,10,1.89
7/1/2024 0:30,144,0,0.37,0.016,0.033,0.046,0.052,10,0,10,2.26
7/1/2024 0:35,144,0,0.37,0.232,0.106,0.082,0.107,10,0,10,2.63
7/1/2024 0:40,144,0,0.37,0.233,0.132,0.091,0.037,10,0,10,3
7/1/2024 0:46,144,0,0.36,0.01,0.116,0.139,0.251,10,0,10,3.36
7/1/2024 0:51,144,0,0.38,0.011,0.205,0.085,0.09,10,0,10,3.74
7/1/2024 0:56,144,0,0.37,0.102,0.236,0.132,0.03,10,0,10,4.11
7/1/2024 1:01,144,0,0.37,0.066,0.165,0.178,0.101,10,0,10,4.48
7/1/2024 1:07,144,0,0.37,0.037,0.026,0.008,0.09,10,0,10,4.85
7/1/2024 1:12,144,0,0.37,0.039,0.083,0,0.041,10,0,10,5.22
7/1/2024 1:17,144,0,0.37,0.27,0.121,0.049,0.072,10,0,10,5.59
7/1/2024 1:23,144,0,0.37,0.046,0.122,0.043,0.192,10,0,10,5.96
7/1/2024 1:28,144,0,0.36,0.076,0.204,0.015,0.141,10,0,10,6.32
7/1/2024 1:33,144,0,0.35,0.167,0.05,0.008,0.152,10,0,10,6.67
7/1/2024 1:39,144,0,0.34,0.121,0.047,0.006,0.182,10,0,10,7.01
7/1/2024 1:44,144,0,0.35,0.02,0.12,0.075,0.083,10,0,10,7.36
7/1/2024 1:49,144,0,0.34,0.174,0.068,0.053,0.07,10,0,10,7.7
7/1/2024 1:54,144,0,0.34,0.076,0.085,0.114,0.007,10,0,10,8.04
7/1/2024 1:59,144,0,0.35,0.144,0.212,0.02,0.084,10,0,10,8.39
7/1/2024 2:05,144,0,0.34,0.14,0.008,0.059,0.001,10,0,10,8.73
7/1/2024 2:10,144,0,0.34,0.032,0.028,0.026,0.224,10,0,10,9.07
7/1/2024 2:15,144,0,0.35,0.261,0.222,0.191,0.076,10,0,10,9.42
7/1/2024 2:20,144,0,0.34,0.008,0.01,0.125,0.151,10,0,10,9.76
7/1/2024 2:26,144,0,0.35,0.045,0.117,0.006,0.011,10,0,10,10.11
7/1/2024 2:31,144,0,0.35,0.189,0.051,0.003,0.062,10,0,10,10.46
7/1/2024 2:36,144,0,0.35,0.142,0.122,0.119,0.024,10,0,10,10.81
